,leniency,reachability,performance,level
31,1.0,15.0,4.90527477843843,wwwwwww w.....w w.....w w.A...w w.....w w....ww w.....w w.....w ww+..ww w..w..w w.....w w...1ww w.....w w.....w w.....w w.....w w.g.w.w w.....w wwwwwww
32,1.0,16.0,4.969813299576001,wwwww w...w w..gw w...w w...w w..1w w..+w w...w w...w w...w w...w w...w w...w w...w w...w w...w w..Aw w...w w...w w...w w...w w...w wwwww
33,1.0,17.0,5.030437921392435,wwww wg.w w..w w..w w1.w w..w ww.w w..w w..w w..w ww.w w.+w w..w w..w wA.w ww.w wwww
34,1.0,18.0,5.087596335232384,wwww ww.w w..w w.Aw ww+w w..w w..w ww.w w..w w..w w..w w..w w..w w..w w..w w..w w.1w w..w wg.w w..w wwww
35,1.0,19.0,5.14166355650266,wwwww wg..w w...w w...w w2..w w...w w...w w...w w...w w...w w..+w w...w w.w.w w...w wA.ww w...w w...w ww..w w..ww wwwww
36,1.0,20.0,5.19295685089021,wwww ww.w w..w w.Aw w..w w.+w w..w w..w ww.w w..w w..w w..w w..w w..w w..w w..w w..w w..w ww.w w.2w wg.w w..w wwww
37,1.0,21.0,5.241747015059643,wwww w.Aw w..w w..w w.1w w..w w..w w..w w..w w..w w..w w..w w..w w..w w.+w w..w w..w w..w w..w w..w w.gw wwww
38,1.0,22.0,5.288267030694535,wwwwwwww wwg....w w.....3w w......w w....w.w w...w..w w......w w......w w......w w.w....w w.....+w w......w w......w w.A...ww ww.....w w......w w......w wwwwwwww
39,1.0,24.0,5.375278407684165,wwww w..w wAww w.ww w..w w..w w..w w.ww w..w w.2w w.ww w.gw w..w w..w w..w w..w w..w w.+w w..w w..w wwww
40,1.0,25.0,5.41610040220442,wwwww w...w wA.ww w...w w...w w...w w...w w..ww w...w w..2w w...w w..gw w...w w...w w...w w...w w...w w..+w w...w w...w wwwww
41,1.0,26.0,5.455321115357702,wwww w..w wAww w..w w..w w..w w..w w.ww w..w w..w w.ww w.gw w..w w..w w..w w..w w..w w..w w2+w w..w ww.w wwww
42,2.0,4.0,3.6888794541139363,wwwwwwww w......w w....A+w w.w.22gw w......w wwwwwwww
43,2.0,5.0,3.871201010907891,wwwwww w....w w....w w..w.w w..1.w w....w w..w.w w..w.w w.w2ww w..A.w w...+w w...gw wwwwww
44,2.0,6.0,4.04305126783455,wwwwwwwwwww w...g.....w wA..+.....w w.........w w.........w w.3.3.....w wwwwwwwwwww
45,2.0,7.0,4.189654742026426,wwwwwww w.....w w.32..w w.w...w w.g.+.w w.....w w....Aw w...w.w wwwwwww
46,2.0,8.0,4.30406509320417,wwwwwwww w......w w......w w.3....w w......w w..1...w w......w w....A+w w.g....w w......w w......w w......w w......w w......w w......w w......w w......w w......w w......w w......w wwwwwwww
47,2.0,9.0,4.418840607796598,wwwwwwwwwwwwwwwww w......ww.....1.w ww..............w w....w..2...w.A.w w.............g.w w.........w.+...w w.............w.w wwwwwwwwwwwwwwwww
48,2.0,10.0,4.5217885770490405,wwwwwwwwwwwww w...........w w...........w w....A......w ww........1.w w.....+.....w w...........w w..2w....g..w wwwwwwwwwwwww
49,2.0,11.0,4.61512051684126,wwww ww.w w..w w.+w wg.w w..w w.3w w2.w w..w wA.w w..w w.ww w..w wwww
50,2.0,12.0,4.6913478822291435,wwwwwwwwwwwwwwwwwwwww w.....A.3w..........w wg.....2............w w...........w.......w w+..................w w.........w.........w wwwwwwwwwwwwwwwwwwwww
51,2.0,13.0,4.770684624465665,wwwwwwwwwwwwwwwwwwwww w...................w w.....A..w..........w w3w.................w wg.....2............w w.....w.....w.......w w+.................ww w.........w.........w wwwwwwwwwwwwwwwwwwwww
52,2.0,14.0,4.84418708645859,wwwwwwwwwwwwwwwwwwwww w.....A..w..........w w3..................w w...................w wg.....2............w w.....w.....w.......w w+.................ww w.........w.........w wwwwwwwwwwwwwwwwwwwww
53,2.0,15.0,4.912654885736052,wwwwwwwwwwwwww w.g....2.+...w ww...........w w......w...2.w w......w....Aw ww........w..w wwwwwwwwwwwwww
54,2.0,16.0,4.976733742420574,wwwwwwwwwwwwww w............w w......w.w...w w............w w...........1w w............w w............w w............w w..........3.w w..w.....w.g.w w............w w............w w............w w..A.........w w...+........w w............w wwwwwwwwwwwwww
55,2.0,17.0,5.0369526024136295,wwwwwwwwwwwwwww w.g.......+...w w.............w w.......w..2..w w.............w w.......ww...Aw w.w.2ww.......w w..........w..w wwwwwwwwwwwwwww
56,2.0,18.0,5.093750200806762,wwwwww w.g..w w....w w....w w.2..w w....w w....w w....w w....w w....w w...+w w....w w....w w.A.ww w...1w w....w w....w wwwwww
57,2.0,19.0,5.147494476813453,wwwwwwwwwwwwwwwwwww w3g..............ww w....w..w......1A.w w.........+.......w wwwwwwwwwwwwwwwwwww
58,2.0,20.0,5.198497031265826,wwwwwww w.g...w w.....w w.....w w.2...w w.....w w.....w w.....w w.....w w...w.w w....+w w.....w w.....w w.A..ww w....1w w.....w w.....w wwwwwww
59,2.0,21.0,5.247024072160486,wwwwwwwwwwwwwwwwwww w.................w w..+..............w wgww..3......w....w w...........3w....w w....w......w.....w w.................w w.............A...w wwwwwwwwwwwwwwwwwww
60,2.0,23.0,5.337538079701318,wwwwwww w.....w ww....w w...g.w w.....w w.....w w.A.1.w w....ww w.....w w.2...w w...w.w w.....w w.....w w+....w w...w.w wwwwwww
61,2.0,25.0,5.420534999272286,wwwww ww..w wA.ww w..ww w...w w1..w w...w w..ww w...w w..ww w..ww w.wgw w..1w w...w w...w w...w w...w w..+w ww..w wwwww
62,2.0,27.0,5.497168225293202,wwwww w...w wA.ww w..ww w...w w...w w...w w..ww w...w w..ww w..ww w..gw w.w.w w...w w...w w...w w...w w.3.w w2.+w w...w ww..w wwwww
63,3.0,4.0,3.8066624897703196,wwwwwww w.1...w w...A+w w.w22gw w.....w wwwwwww
64,3.0,5.0,3.951243718581428,wwwww w...w w...w w...w w.1.w w..3w w.w.w w.w.w w.2ww w.A.w w..+w w..gw wwwww
65,3.0,6.0,4.0943445622221,wwwwwww w.2...w w3.3..w www...w wg.+..w w...Aww w..ww.w wwwwwww
66,3.0,7.0,4.23410650459726,wwwwwww w.....w w.....w w.3...w w.....w w.....w w..1..w w.....w w...A+w w.g...w w.....w w.....w w.....w w..1..w w.....w w.....w w....ww w.....w w.....w w.....w w.....w wwwwwww
67,3.0,8.0,4.343805421853684,wwwwwwwww w.......w w..2.3w.w w......ww w.g..+..w w.......w w.....A.w w..1.w..w wwwwwwwww
68,3.0,9.0,4.442651256490317,wwwwwwwwwwwwww w..3.......1.w w..w......ww.w ww....A..+...w w.w...g.2.w..w wwwwwwwwwwwwww
69,3.0,10.0,4.543294782270004,wwwwwwwwwwwwwwwwwww w........A........w w1..3.3....w...w.ww w......g..........w w.................w w........+....w.w.w wwwwwwwwwwwwwwwwwww
70,3.0,11.0,4.634728988229636,wwwwwwwwwwwwwww w....A.3......w ww.........1..w ww.w...+.....3w w.............w w...w.....g...w wwwwwwwwwwwwwww
71,3.0,12.0,4.709530201312334,wwwwwwwwwwwwww w.......A.w..w w...........2w w....w.......w w...3..+3...ww w.g...w......w wwwwwwwwwwwwww
72,3.0,13.0,4.787491742782046,wwwwwwwwwwwwwwwwwwwww w.....A.3w..........w w3w.................w wg.....2............w w.....w.....w.......w w+.................ww w.........w.........w wwwwwwwwwwwwwwwwwwwww
73,3.0,14.0,4.859812404361672,wwwwwwww w......w w..A...w w..+3..w w....2.w ww.....w w...w..w w.....2w w......w w......w w......w w......w w....g.w w......w w......w w.....ww w.w....w wwwwwwww
74,3.0,15.0,4.927253685157205,wwwwwwwwwwwwww w.g.....2+...w w............w w.......w..2.w w...........Aw w.w.2.w......w w.........w..w wwwwwwwwwwwwww
75,3.0,16.0,4.990432586778736,wwwwwwwwwwwww w...........w w.....w.w.w.w w..........1w w...........w w....w......w w.w.....w.g.w w..2..w.....w w...........w w..w.......2w w.A.w.......w w..+.....w..w w..w........w wwwwwwwwwwwww
76,3.0,17.0,5.043425116919247,wwwwwwwwwwwwwwwwwwwwwwww w......A...............w w......................w w3..1..................w wg.....................w w..................1...w w......w...............w w+.....................w w......................w w......................w wwwwwwwwwwwwwwwwwwwwwwww
77,3.0,18.0,5.099866427824199,wwwwwww w..g..w w.....w w.....w w..2..w w.....w w.....w w.....w w.....w w.....w w....+w w..1..w w.....w w..A..w w....1w w.....w wwwwwww
78,3.0,19.0,5.153291594497779,wwwwwwwwwwwwwwwwww w..+...1.........w wgw..............w w..........3....ww w..1.............w w............A...w wwwwwwwwwwwwwwwwww
79,3.0,20.0,5.204006687076795,wwwwwwwwwwwwwwww w.w.w.........ww w....wA........w w.3............w w..............w w..............w w..........w...w w..........w...w w.....w.......ww w.+............w w..........w...w w..............w w..............w w...wg.........w w..............w w.....1........w w..............w w..............w w..............w w........3.w...w ww......w......w w..............w wwwwwwwwwwwwwwww
80,3.0,21.0,5.25227342804663,wwwwwwwwwwwwwwwwwwwww ww..................w ww..w...........g...w w...A...........w...w w...................w w..+..............w.w w....1.1............w w............w....3.w w..w...............ww wwwwwwwwwwwwwwwwwwwww
81,3.0,22.0,5.298317366548036,wwwwwwwwwwwwwwwwwwwwwww w...2.......ww........w ww......2.............w w...............+..w..w w.....................w w..........w......w...w w...............A.....w w..g..................w w.w............3......w w.w...................w wwwwwwwwwwwwwwwwwwwwwww
82,3.0,24.0,5.384495062789089,wwww wAww w.ww w..w w..w w..w w..w w..w w.2w w..w w1gw w..w w..w w..w w.3w w..w w.+w w..w w..w wwww
83,3.0,25.0,5.424950017481403,wwwwwwww w.+....w w....g.w w......w w......w w......w w......w w.....ww w....2.w w......w w2.....w w......w w....w.w w......w w......w w......w w......w w......w w...2..w w..A...w wwwwwwww
84,3.0,26.0,5.4638318050256105,wwwwwwwww w.+.....w w....wg.w w.......w w.......w ww......w w......ww w.....2.w w.......w w2......w w.......w w.....w.w w.......w w.......w w.......w w.......w w.......w w....2..w w...A...w wwwwwwwww
85,3.0,27.0,5.497168225293202,wwwwwwwww w.+....3w w....g..w w.......w w.w....ww w.....22w ww......w w.....w.w w.......w w.......w w.......w w.......w w.......w w....w..w w.......w w.......w w.......w w.......w w......ww w.......w w...A...w wwwwwwwww
86,4.0,4.0,3.9318256327243257,wwwwww w1..ww w.wA+w ww22gw w..3.w wwwwww
87,4.0,5.0,4.060443010546419,wwwwwwww w11....w w....A+w w.w....w w.ww22gw w......w wwwwwwww
88,4.0,6.0,4.174387269895637,wwwwwwwwww ww..g....w wA..+....w w........w w.3.3..31w wwwwwwwwww
89,4.0,7.0,4.290459441148392,wwwwwww w.....w w.....w w.3...w w.....w w.....w w2.1..w w.....w w...A+w w.g...w w.....w w.....w w.....w w..1..w w.....w w.....w w.....w w.....w w.....w w.....w w.....w wwwwwww
90,4.0,8.0,4.382026634673881,wwwwwwww wA312.3w w....+gw wwwwwwww
91,4.0,9.0,4.48863636973214,wwwww w...w wg..w w...w w+..w w..3w w...w w..Aw ww..w w...w w...w w.2.w w...w w..3w w...w w...w w...w w3..w wwwww
92,4.0,10.0,4.574710978503383,wwwwwwwwwwwwww w............w w.....A3.....w ww.........13w w...w..+.....w w............w w...2w....g..w wwwwwwwwwwwwww
93,4.0,11.0,4.653960350157523,wwwwww w....w wg...w w....w w.w.1w w+...w w...3w w....w ww..Aw ww...w w....w w....w w....w w....w w....w w.2.ww w....w w....w w3w..w wwwwww
94,4.0,12.0,4.736198448394496,wwwww w...w w...w wg..w w..3w w...w w...w w+..w w..3w w...w w.3.w w..Aw ww..w w...w w.w.w w...w w...w w...w w..ww w.w.w w...w w3..w wwwww
95,4.0,13.0,4.804021044733257,wwwwwww w.....w w..w.ww w..+..w w.....w w.....w w...g.w w.2...w w...1.w w.A..ww w.....w w.....w w...w.w w..3..w w.....w w....1w wwwwwww
96,4.0,14.0,4.875197323201151,wwwwwwww w.....ww w..A...w w..+3..w w....2.w ww.....w w...w..w w.....2w w......w w......w w......w w......w w...2g.w w......w w......w w.....ww w.w....w wwwwwwww
97,4.0,15.0,4.941642422609304,wwwwwwwww w1.w..w.w ww..w..ww w...+...w w.......w ww....1.w w.......w w....g..w w..2....w w.....2.w w..A....w w.......w w.......w w.......w w.......w w.......w w.......w w.......w wwwwwwwww
98,4.0,16.0,4.997212273764115,wwwwwwwwwwwwww w............w w......w.w...w w............w w...........1w w............w w............w w..........3.w w..w.....w.g.w w...2..w.....w w............w w............w w..A.........w w...+.....w..w w........3...w wwwwwwwwwwwwww
99,4.0,17.0,5.056245805348308,wwwwwwwwwwwwwwwwwww w.................w w.................w w..........w..w...w w.......w.w..w....w w.....w..........ww w........w.1......w w.........w.......w w................ww w....2............w w.g...+.........w.w w.................w w.....w..w........w w.................w ww................w w.............1...w w....w............w w.A.............3.w w.................w w.................w w.................w w...w.............w wwwwwwwwwwwwwwwwwww
100,4.0,18.0,5.111987788356544,wwwwwwwwwwww w........2.w w.........ww w......g...w w.w........w w..........w w....w.....w w.......w..w w..........w ww.........w w...+......w w..........w w...1......w w3.........w w..........w w..A......ww w.......3..w w..........w w.........ww w......w...w wwwwwwwwwwww
101,4.0,19.0,5.1647859739235145,wwwwwwwwwwwwww w............w w............w w........w...w w...3...+w...w w.w1..3..w2..w w...w........w w..........w.w w............w w...A.w....g.w wwwwwwwwwwwwww
102,4.0,20.0,5.214935757608986,wwwwwwwwwwwwwwwwwwwwwww w...2........w........w ww......2.............w w...............+...1.w w..........w......w...w w...............A.....w w..g..................w w.w............3......w w.w...................w wwwwwwwwwwwwwwwwwwwwwww
103,4.0,21.0,5.2574953720277815,wwwwwwwwwwwwwwwwwww w.................w w..+..............w wgww...3..........w w........3...3w..ww w..1..........w...w w..............A..w wwwwwwwwwwwwwwwwwww
104,4.0,22.0,5.303304908059076,wwwwwwwwwwwwwwwwwwww w...+....1.........w wg.ww..3...........w w..................w w....w.......3....ww w....1.............w w..............A...w wwwwwwwwwwwwwwwwwwww
105,4.0,23.0,5.3471075307174685,wwwwwwwwwwwwwwwwwwwwww w....................w w....w...............w w.............w......w w....................w w..2.................w w................w...w w....................w w..................2.w w...w................w w....................w w.......w.w..w.......w w............w.....w.w w...............A.+..w w..........2.........w wg........w..........w w....................w w.....2..............w wwwwwwwwwwwwwwwwwwwwww
106,4.0,25.0,5.429345628954441,wwwww wA.ww w...w w...w w...w w...w w...w w...w w..2w w...w w1.gw w...w w...w w..2w w..3w w...w w..+w w...w w...w wwwww
107,4.0,26.0,5.468060141135131,wwwwwwwwwwwwwwwwwwwwwwwww w..........1............w w.......................w w.w..............w......w ww....+..........2......w w.......................w w....................A..w w..3.3..................w w..g....................w wwwwwwwwwwwwwwwwwwwwwwwww
108,4.0,27.0,5.5053315359323625,wwwwwwwwwwwwwwwww w...............w w........1......w w...............w w......w........w w...............w w...............w w.2.......w.....w ww....2.........w w............+..w w...............w w.......w.......w w..1...w........w w...............w w..............ww w............g..w w......w........w w...............w w...............w w...A...........w w..........ww...w w...............w w...............w wwwwwwwwwwwwwwwww
109,4.0,28.0,5.541263545158426,wwwwwwwww w.......w w.......w w..g...Aw w1.w....w w.2...2.w w..w....w w.......w w....w..w w.......w w.1.....w w.......w w...w...w w.......w w.....+.w wwwwwwwww
110,4.0,29.0,5.572154032177765,wwwwwwwwwwwwwwwwww w................w w................w w1...............w w.......w........w w................w w..............w.w w..........w.2...w w................w ww.....2.........w w.............+..w w................w w................w w........w.......w w..1....w........w w................w w...............ww w.............g..w w.......w........w w................w w................w w....A...........w w...........ww...w w................w w................w wwwwwwwwwwwwwwwwww
111,4.0,30.0,5.605802066295998,wwwwwwwwwww w..+......w w.....wg..w w.........w w.....w...w www.......w w.........w w......2..w w.........w w.........w w.........w w.........w w........ww w......w..w w.........w w.........w w.........w w.........w w.........w w.....2...w w.3....3..w w.........w w....A....w wwwwwwwwwww
112,4.0,33.0,5.700443573390687,wwwwwwwwwwwwwwwwwww w......1..........w w......A...w......w w...w......3......w w.............w...w w.w...............w w...w..w..........w w..g3.............w w...........w.....w w.........3.....+.w w.....w...w.......w wwwwwwwwwwwwwwwwwww
113,4.0,37.0,5.814130531825066,wwwwwwwwwwwwwww w1w...........w w.............w w...ww...w....w ww............w w......A......w w.............w w.........g...w w...........1.w w.............w w.............w w.......w.....w w.............w w.............w w.............w w..1..........w w+............w w.ww..........w w3......w....ww wwwwwwwwwwwwwww
114,5.0,4.0,4.060443010546419,wwwwww w..3.w w....w w....w w....w w..w.w w....w w....w w3...w w....w w...Aw w...+w w...gw w....w w....w w.w..w w...2w w..1.w w...ww w....w w3w..w wwwwww
115,5.0,5.0,4.1588830833596715,wwwwwwwww w11..w1.w w.w...A+w w.w.....w w.ww.22gw wwwwwwwww
116,5.0,7.0,4.343805421853684,wwwwwwww w......w w......w w.3....w w......w w......w w......w w..1...w w......w w...A+.w w.g....w w......w w......w w......w w..1...w w......w w3.....w w....w.w w.....2w w......w w......w w......w wwwwwwww
117,5.0,8.0,4.442651256490317,wwwwwwwwwwwwww w............w w...3........w w.w....+.g...w w...3..w.....w w.....1......w w.....A.3....w w.w........www w............w w......www...w ww..........ww w............w w............w w........w.1.w w............w w........w...w w....w....w..w wwwwwwwwwwwwww
118,5.0,9.0,4.532599493153256,wwwwwwwwwwwww w......21...w w....w..+..1w w2www.A3w..gw wwwwwwwwwwwww
119,5.0,10.0,4.61512051684126,wwwwwwwwwwwwww w....A3......w ww.2......1..w w..w..+.....3w w............w w..2w....g...w wwwwwwwwwwwwww
120,5.0,11.0,4.691347882229144,wwwwwwwwwwwwwwwwww w......ww......1.w w.....1..........w w....w..2...w..A.w w..............g.w w.........w.+....w w............2.w.w w.......3.w....www wwwwwwwwwwwwwwwwww
121,5.0,12.0,4.762173934797756,wwwwwww w.....w wg....w w.2...w w....1w w+....w w....3w w.....w w....Aw ww....w w.....w w..w..w w.....w w.....w w.....w w.2..ww w..w..w w.....w w3....w wwwwwww
122,5.0,13.0,4.8283137373023015,wwwwwww w.....w wg....w w.....w w.w..1w w+....w w....3w w.....w w..3..w w....Aw ww....w w.....w w..w..w w.....w w.....w w.....w w.2..ww w..w..w w.....w w3....w wwwwwww
123,5.0,14.0,4.897839799950911,wwwwwww w.w...w w.....w w.....w w.A...w w.....w w...w.w w...1.w w.....w w.+.w.w w..3..w w.....w w..1www w.....w w....3w w...w.w w.gw..w w.w..3w wwwwwww
124,5.0,15.0,4.955827057601261,wwwwwwwwwwwwwwwwww w....A..w........w w.w...w...3..g..ww w...+.2..........w w.2.....3...3..w.w wwwwwwwwwwwwwwwwww
125,5.0,16.0,5.017279836814924,wwwwwwwwwwwww w...........w w.....w.w...w w...........w w..........1w w...........w w...........w w.........3.w w.w.....w.g.w w..2..w.....w w...........w w..w.......2w w.A.........w w..+.....w..w w..w....3...w wwwwwwwwwwwww
126,5.0,17.0,5.0689042022202315,wwwwwwwwwwwwwwwwwwwwwww w..3....A..w.....1....w w3.w..................w wg....................w w..1...............1..w w.......w.....w.....w.w w+...................ww w.....................w w.....................w wwwwwwwwwwwwwwwwwwwwwww
127,5.0,18.0,5.123963979403259,wwwwwwwwwwwwwwwwwww w..........3......w w.................w w.........+.......w w.............3..ww w..2.............Aw ww......3......w.3w w............gw...w w.................w w...w....w.w......w wwwwwwwwwwwwwwwwwww
128,5.0,19.0,5.176149732573829,wwwwwwwww w.......w w.......w w...w..2w wg......w w......3w w.......w w.......w w...w...w w.....w.w w.1+....w w.......w w.......w w.......w w.......w w.......w w.......w w.......w w...A.3.w w.......w w.......w w.......w ww......w w.1..w..w wwwwwwwww
129,5.0,20.0,5.225746673713203,wwwwwwwwwwwwwwww w.w.w.........ww w....wA........w w.3............w w..............w w..............w w..........w...w w....1.....w...w w.....w.......ww w.+............w w..........w...w w..............w w..............w w...wg.........w w..........w...w w..............w w.....1........w w..............w w..............w w..............w w........3.w...w ww......w......w w1.............w wwwwwwwwwwwwwwww
130,5.0,21.0,5.267858159063329,wwwwwwwwwwwwwwwwwwwwwwww w......................w w......................w w.........A............w w.+............1.......w w...w......g.w.........w w...w.w...w.....w......w w.......w...........3..w w................w.....w w................w..w..w w2...................w.w w......................w w......w...............w w.............1........w w......................w w............w.........w w....w.................w w...................1..w wwwwwwwwwwwwwwwwwwwwwwww
131,5.0,22.0,5.313205979041787,wwwwwwwwwwwwww w............w w..........w.w ww...........w w.w..........w w....w.2.....w w............w w............w w............w w.......w.w..w w............w w......1...3.w w............w w.....w......w w.........w..w wg.........A.w w.....w......w w....w.....w.w w......2.....w w....2.......w w...+........w w....w.......w wwwwwwwwwwwwww
132,5.0,23.0,5.356586274672012,wwwwwwwwwwwwwwwwwwwwwwwww w.......................w w.......................w w..........A............w w.+.............1.......w w...w.......g.w.........w w...w.w....w.....w......w w.......w............3..w w.................w.....w w.................w..w..w w2....................w.w w.......................w w......w................w w..............1........w w.......................w w.............w.........w w.......................w w....................1..w wwwwwwwwwwwwwwwwwwwwwwwww
133,5.0,24.0,5.3981627015177525,wwwwwwwwwwwwwwwwwwwwwww w......w.11...........w w.....................w w.w............w......w w.....+........2......w w.....................w w..................A..w w..3.3................w w..gw.................w wwwwwwwwwwwwwwwwwwwwwww
134,5.0,25.0,5.43372200355424,wwwwwwwwwwwwwwwwww w..w..2...1......w w...1............w w+3.....g........w w................w ww...........3.Aww wwwwwwwwwwwwwwwwww
135,5.0,26.0,5.472270673671475,wwwwwwwwww w.+.....3w w....wg..w w........w w........w w......w.w w.....2..w w........w w.......1w w2.......w w........w w.....w..w w........w w........w w........w w........w w........w w....2...w w...A....w wwwwwwwwww
136,5.0,27.0,5.5093883366279774,wwwwwwwwwwwwwwwwwwwwwwwwww w........................w w........................w w........................w w.....w...............2..w w................w.......w w...........1...w........w w...2.........w..........w w........................w w........................w w...............w........w w....w...................w w...........w............w w...........w..w.........w ww....................w..w w...3..........w.......w.w w....................w...w w...............2...A.+..w w........................w wg..........w............w w........................w w........................w wwwwwwwwwwwwwwwwwwwwwwwwww
137,5.0,28.0,5.545177444479562,wwwwwwwww w.......w w..g...Aw w1.w..w.w w12...2.w ww.w....w w.......w w....w..w w.......w w.1.....w w...w...w w...w...w w.......w w.....+.w wwwwwwwww
138,5.0,29.0,5.579729825986222,wwwwwwwwwww w..+......w w......wg.w w.........w w........2w www.......w w........ww w.......2.w w.........w w2........w w.w.......w w.......w.w w.........w w.........w w.........w w.........w w.w....w..w w.........w w.3.....3.w w.....A...w wwwwwwwwwww
139,5.0,31.0,5.645446897643238,wwwwwwwwwwwwwwwwwwwwwww w....w................w w..........1.......3..w w....................ww w..w..................w wg...............w....w w.....3.w........w....w w.....................w w.........w...........w w...A..........+......w w..w............3.....w w....2................w w......w..............w wwwwwwwwwwwwwwwwwwwwwww
140,5.0,32.0,5.673323267171493,wwwwwwwwwwwwwwwwwww w...........g...w.w w.................w ww.1.w..........A.w w................ww w..w.....1....1.w.w w.........w....w..w w...+.w...........w w..........w.w....w w..w..............w w..1.............2w w...........ww....w wwwwwwwwwwwwwwwwwww
